Curriculum,LASD - Art Studio (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,50.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,ART 007 Beginning Painting,ART,007,"","","",5,,,3,0.5277431906614786,0.3885214007782101,257,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""D"", ""F"", ""NP*"", ""P*""]"
2,ART 002 Beginning Drawing,ART,002,"","","",5,,,2,0.42975778546712806,0.35681660899653983,289,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NG"", ""NP*"", ""P*""]"
3,ART 005 Beginning Sculpture,ART,005,"","","",5,,,5,0.5992352941176471,0.5167647058823529,170,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""F"", ""I"", ""NP*"", ""P*""]"
4,ART 009 Beginning Photography,ART,009,"","","",5,,,7,0.5326589595375723,0.46075144508670524,173,202201,200710,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""F"", ""NG"", ""NP*"", ""P*""]"
5,AHI 001C Baroque to Modern Art,AHI,001C,"","","",4,,,4,-0.4172789115646259,-0.5437414965986395,147,202103,200103,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*"", ""Y""]"
6,AHI 001B Mediev & Renaiss Art,AHI,001B,"","","",4,,,5,0.11522633744855969,0.10740740740740742,243,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
7,ART 101 Intermediate Painting,ART,101,2;1,"","",4,,,8,0.32588709677419353,0.12427419354838708,124,202103,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D+"", ""F"", ""NG"", ""NP*"", ""P*""]"
8,ART 103B Intermed Drawing: Color,ART,103B,2,"","",4,,,9,0.451,0.3222,50,202105,200710,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D-"", ""F"", ""I"", ""NP*""]"
9,ART 151 Intermediate Sculpture,ART,151,3,"","",5,,,7,0.328125,0.2846875,32,202201,200510,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""I"", ""NP*""]"
10,ART 103A Intermed Drawing: B&W,ART,103A,2,"","",4,,,10,0.4983783783783784,0.3712162162162162,74,202110,201001,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""C"", ""I"", ""NP*"", ""P*""]"
11,ART 110B IntmedPhoto:Digital,ART,110B,4,"","",4,,,9,0.35456140350877197,0.32929824561403515,57,202201,200710,"[""A"", ""A-"", ""B"", ""B-"", ""B+"", ""I"", ""NP*""]"
12,ART 102A AdvPainting: Studio Proj,ART,102A,"","","",5,,,11,-0.1097142857142857,-0.274,35,202110,200710,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-""]"
13,ART 195 Artist Lecture Series,ART,195,"","","",1,,,9,,,42,202203,201210,"["""", ""NP"", ""P""]"
14,ART 105A AdvDrwing:StudioProjects,ART,105A,2;8,"","",5,,,9,0.39411764705882346,0.2517647058823529,34,202201,200810,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""I"", ""P*""]"
15,ART 198 Directed Gp Study,ART,198,"","","",5,,,10,0.24000000000000005,-0.09399999999999994,5,202003,200010,"[""A"", ""A-"", ""A+"", ""B"", ""P"", ""RD""]"
16,DES 115 Letterforms & Type,DES,115,18;19;20;21,"","",4,,,7,0.11294392523364487,0.013224299065420577,214,202201,200505,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""I"", ""NP*"", ""P*"", ""RW""]"
17,AHI 189 Photography in History,AHI,189,"","","",4,,,9,0.47150684931506853,0.17753424657534253,73,202003,200101,"[""A"", ""A-"", ""A+"", ""B+"", ""F"", ""P*""]"
18,DES 001 Introduction to Design,DES,001,"","","",4,,,4,0.32560723514211887,0.30291989664082686,774,202110,200010,"[""B"", ""NP*"", ""D+"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""C-"", ""I"", ""D-"", ""B+"", ""A""]"
19,DES 014 Design Drawing,DES,014,"",18,"",4,,,6,0.16608247422680414,0.15302405498281788,291,202201,200105,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
20,DES 015 Form & Color,DES,015,"",18,"",4,,,4,0.25967359050445105,0.22899109792284866,337,202201,200101,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*""]"
21,DES 016 Graphics & The Computer,DES,016,"",18,"",4,,,5,0.10828337874659404,0.04716621253405998,367,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
Overall Average,"","","","","","","","","","",0.2720854928020153,0.1678486066921373
