Curriculum,LCOM - Comparative Literature (BA)
Institution,UC Davis
Degree Type,BA
System Type,quarter
CIP,16.0104
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term,Average Cumulative GPAO Penalty,Average Singular GPAO Penalty,Total Students,Most Recent Term,Earliest Term Offered,Grades
1,COM 002 Mjr Wrks Medi Early Mod,COM,002,"","","",4,,,4,0.3256862745098039,0.31941176470588234,204,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""F"", ""I"", ""NG"", ""NP*"", ""Y""]"
2,COM 003 Major Wrks Mod World,COM,003,"","","",4,,,4,0.3889637305699482,0.4509326424870466,193,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D-"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
3,COM 004 Mjr Wrks Contemp World,COM,004,"","","",4,,,5,0.4314503816793893,0.4623155216284987,393,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F"", ""NG"", ""NP*"", ""P*""]"
4,COM 001 Major Wrks Ancient World,COM,001,"","","",4,,,3,0.5524067796610169,0.578677966101695,295,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NG"", ""NP*"", ""P*""]"
5,ARB 001 Elem Arabic 1,ARB,001,"","","",5,,,1,0.5959493670886076,0.5789240506329114,158,202110,200610,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C-"", ""C+"", ""D"", ""F"", ""NP*"", ""P*""]"
6,COM 160A Modern Novel,COM,160A,"","","",4,,,7,0.5596428571428571,0.4164285714285714,28,202001,200510,"[""A"", ""A-"", ""B"", ""F"", ""NP*""]"
7,COM 199 Special Study,COM,199,"","","",5,,,10,,,8,202103,200401,"[""P""]"
8,COM 146 Myth In Literature,COM,146,"","","",4,,,10,0.223,0.2800000000000001,20,202103,200610,"[""A"", ""A-"", ""A+"", ""B-""]"
9,COM 141 Intro to Critical Theory,COM,141,"","","",4,,,7,0.3983333333333334,0.06958333333333337,24,202201,200103,"[""A"", ""A-"", ""B"", ""B+"", ""I"", ""NP*"", ""P*""]"
10,COM 195 Senior Seminar Comp Lit,COM,195,"","","",4,,,12,0.18615384615384623,0.18615384615384617,13,202103,200803,"[""A"", ""A-"", ""A+"", ""B+"", ""C"", ""F"", ""I"", ""P*""]"
11,SPA 100 Principles Lit Criticism,SPA,100,15,"","",4,,,7,0.418433734939759,0.39283132530120485,166,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""F""]"
12,SPA 151 Latin Amer Lit 1900 Pres,SPA,151,11,"","",4,,,6,0.531219512195122,0.3464634146341463,164,202201,200907,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D+"", ""F"", ""I"", ""P*""]"
13,FRE 100 Comp In French,FRE,100,22,"","",4,,,0,0.23617647058823532,0.2064705882352942,34,202110,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B+"", ""C+"", ""I"", ""NP*""]"
14,UWP 104J Writing Social Justice,UWP,104J,2,"","",4,,,0,0.1380769230769231,0.11910256410256413,78,202201,201503,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D-"", ""F"", ""I"", ""NP*"", ""P*""]"
15,SPA 024 Spanish Composition II,SPA,024,16,"","",4,,,5,0.4503083700440529,0.5356828193832599,227,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*"", ""RW""]"
16,SPA 023 Spanish Composition I,SPA,023,17,"","",4,,,4,0.5650000000000001,0.6812376237623763,202,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""D-"", ""F"", ""NP*"", ""P*"", ""RW""]"
17,SPA 022 Intermediate Spanish,SPA,022,18,"","",5,,,0,0.4400645161290323,0.519483870967742,155,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D+"", ""F"", ""I"", ""P*""]"
18,SPA 021 Intermediate Spanish,SPA,021,19,"","",5,,,0,0.5362142857142858,0.5475,140,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""F"", ""NP*"", ""P*""]"
19,SPA 003 Elementary Spanish,SPA,003,20,"","",5,,,0,0.19397058823529412,0.14973856209150327,612,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""NP*"", ""P*""]"
20,SPA 002 Elementary Spanish,SPA,002,21,"","",5,,,0,0.3114475627769572,0.24738552437223046,677,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""RW""]"
21,SPA 001 Elementary Spanish,SPA,001,"","","",5,,,3,0.44166666666666665,0.34927083333333336,192,202201,200010,"[""B"", ""NP*"", ""A+"", ""C+"", ""A-"", ""C"", ""P*"", ""B-"", ""F"", ""RW"", ""C-"", ""D"", ""I"", ""B+"", ""A""]"
22,FRE 023 Intermed French,FRE,023,23,"","",5,,,0,0.005106382978723433,0.01574468085106386,47,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""D"", ""D+"", ""F"", ""P*"", ""Y""]"
23,FRE 022 Intermed French,FRE,022,24,"","",5,,,0,0.0632075471698113,0.07000000000000003,53,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""F"", ""P*""]"
24,FRE 021 Intermed French,FRE,021,25,"","",5,,,0,-0.15879999999999997,-0.12759999999999996,50,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C+"", ""D"", ""NP*"", ""P*""]"
25,FRE 003 Elementary French,FRE,003,26,"","",5,,,0,-0.2125352112676056,-0.30429577464788726,142,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D+"", ""F"", ""I"", ""NP*"", ""P*""]"
26,FRE 002 Elementary French,FRE,002,27,"","",5,,,0,-0.1389047619047619,-0.15252380952380953,210,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
27,FRE 001 Elementary French,FRE,001,"","","",5,,,4,-0.062055555555555565,-0.10116666666666667,180,202201,200010,"[""A"", ""A-"", ""A+"", ""B"", ""B-"", ""B+"", ""C"", ""C-"", ""C+"", ""D"", ""D-"", ""D+"", ""F"", ""NP*"", ""P*"", ""Y""]"
Overall Average,"","","","","","","","","","",0.27482161488613854,0.25325012046919043
